issue_key,jira_id,task_id
MAPREDUCE-5049,12635488,664
MAPREDUCE-1599,12459174,665
MAPREDUCE-1601,12459268,666
MAPREDUCE-1602,12459326,667
MAPREDUCE-1604,12459352,668
MAPREDUCE-1605,12459361,669
MAPREDUCE-1606,12459364,670
MAPREDUCE-1607,12459508,671
MAPREDUCE-1609,12459606,672
MAPREDUCE-1611,12459677,673
MAPREDUCE-1612,12459685,674
MAPREDUCE-1613,12459686,675
MAPREDUCE-1629,12459733,676
MAPREDUCE-1617,12459948,677
MAPREDUCE-1618,12459953,678
MAPREDUCE-1619,12459965,679
MAPREDUCE-1620,12460034,680
